name,price,description
Rose,350,A classic crochet rose to brighten any moment.
Sunflower,350,A sunshiney bloom that never wilts.
Tulip,300,"Sweet, simple, and delicately stitched."
Lavender,300,"Soft purple sprigs for calm, cozy vibes."
Daisy,300,A cheerful little flower full of charm.
Lily,450,"Elegant and detailed, a showstopper bloom."
Crochet Keychains,350,A tiny bundle of cuteness for your keys!
Plain Beanie,550,"Snug and cozy, your everyday winter hug."
Spiderman Beanie,700,For little superheroes (or big ones too!).
Cat Beanie,600,Purr-fectly cute with little ears!
Plain Bucket Hat,500,"Chic and breezy, a handmade fashion staple."
Flower Bucket Hat,700,Whimsical florals bloom on this playful hat.
Ear Muffs,400,"Soft and warm, like a cuddle for your ears."
Heart Bracelet,350,A dainty heart to wear with love.
Flower Hairclip,400,A floral touch to crown your look.
Gajray (each),600,"Festive and floral, for wrists or braids."
Scrunchie,350,"Gentle on hair, cute on wrists too!"
Gloves (each),550,"Handmade warmth, finger by finger."
Flower Bands,400,A string of crochet flowers to style up.
Wallet,500,"Soft, sturdy, and stitched to charm."
Crochet Shrugs,1700,"Cozy, handcrafted shrugs to wrap yourself in love."
Flower Blanket,2500,A warm garden of blooms to snuggle under.
Plushies,600,"Soft, squishy, and full of handmade hugs."
Heart Pillow,600,"A cushion of love, perfect for gifting or hugging."
Airpod Cover,500,"Protect your AirPods in style! Handcrafted and customizable, our crochet covers keep your earbuds safe with a touch of cozy charm."
Mushroom Jewellery Holder,600,Whimsical fungi to hang your prettiest things.
Crochet Rose Bouquet,1100,"A blooming bundle of love, forever fresh."
Baby Romper,1400,Snuggly-soft and handmade with baby giggles in mind.
Baby Beanie,500,"Tiny head, big warmth. Crafted for cuteness overload."
Crochet Bottle Cover,500,Because your bottle deserves a handmade hug too.
Fingerless Gloves,800,"Stay cozy and stylish! These handmade fingerless gloves keep your hands warm while giving you the freedom to text, type, and create with ease."
Crochet Mesh Top,2000,"Breezy, lightweight layering that makes every outfit pop."
Granny Square Vest,1800,Classic granny squares stitched into wearable art.
Heart Pouch,650,"A pouch full of love ,literally with tiny hearts stitched in."
Bandana,450,A stylish wrap for sunny strolls and cozy cafes.
Monkey Plushie (with Banana),800,Handmade monkey magic with a cheeky banana twist.
Crochet Heart Ear Muffs,400,"Cozy charm for your ears, warm, soft, and handmade with love."
Daisy Handband,400,Delicate daisies strung into a floral crown for your head.
Coasters,250,Friendly coasters that guard your tables in style.
Honey Bee Plushie,500,"Buzzing with cuteness, perfect for gifts or snuggles."
Lavender Bouquet,1000,A lavender-scented hug that lasts forever (well... almost).
Gingerbread Man Plushie,300,"Sweet, soft, and always smiling, the perfect holiday cuddle buddy."
